uid,lexicon,pos,label,lemma,strength,source,isbase,exclude
desirous=>desirous=>o,desirous,o,p,desirous,s,mpqa,t,
hazy=>hazy=>a,hazy,a,n,hazy,w,mpqa,t,
reverently=>reverently=>r,reverently,r,p,reverently,s,mpqa,t,
undisputed=>undisputed=>a,undisputed,a,p,undisputed,w,mpqa,t,
maverick=>maverick=>a,maverick,a,n,maverick,s,mpqa,t,
harbors=>harbors=>a,harbors,a,n,harbors,w,mpqa,t,
deadbeat=>deadbeat=>a,deadbeat,a,n,deadbeat,s,mpqa,t,
active=>active=>a,active,a,p,active,w,mpqa,t,
superstitious=>superstitious=>n,superstitious,n,n,superstitious,s,mpqa,t,
exacting=>exacting=>a,exacting,a,n,exacting,w,mpqa,t,
lucrative=>lucrative=>a,lucrative,a,p,lucrative,w,mpqa,t,
lucrative=>lucrative=>n,lucrative,n,p,lucrative,w,mpqa,t,
suitable=>suitable=>a,suitable,a,p,suitable,w,mpqa,t,
adolescents=>adolescents=>a,adolescents,a,o,adolescents,s,mpqa,t,
adolescents=>adolescent=>n,adolescents,n,o,adolescent,s,mpqa,f,
intrigue=>intrigue=>a,intrigue,a,p,intrigue,s,mpqa,t,
astute=>astute=>a,astute,a,p,astute,s,mpqa,t,
eyebrows=>eyebrows=>a,eyebrows,a,o,eyebrows,w,mpqa,t,
eyebrows=>eyebrow=>n,eyebrows,n,o,eyebrow,w,mpqa,f,
fantastic=>fantastic=>o,fantastic,o,p,fantastic,s,mpqa,t,
objectively=>objectively=>r,objectively,r,p,objectively,w,mpqa,t,
moral=>moral=>a,moral,a,p,moral,s,mpqa,t,
moral=>moral=>n,moral,n,p,moral,s,mpqa,t,
unsteadily=>unsteadily=>r,unsteadily,r,n,unsteadily,w,mpqa+liu,t,
pardon=>pardon=>v,pardon,v,p,pardon,s,mpqa+liu,t,
dissolution=>dissolution=>n,dissolution,n,n,dissolution,w,mpqa+liu,t,
dynamic=>dynamic=>a,dynamic,a,p,dynamic,w,mpqa+liu,t,
obstruction=>obstruction=>n,obstruction,n,n,obstruction,w,mpqa+liu,t,
protest=>protest=>v,protest,v,n,protest,s,mpqa+liu,t,
dehumanize=>dehumanize=>v,dehumanize,v,n,dehumanize,s,mpqa+liu+afinn,t,
offenses=>offense=>n,offenses,n,n,offense,s,mpqa+liu,f,
smack=>smack=>n,smack,n,n,smack,s,mpqa+liu,t,
enhance=>enhance=>v,enhance,v,p,enhance,w,mpqa+liu,t,
subordinate=>subordinate=>n,subordinate,n,n,subordinate,w,mpqa+liu,t,
subordinate=>subordinate=>a,subordinate,a,n,subordinate,w,mpqa+liu,t,
sunder=>sunder=>v,sunder,v,n,sunder,s,mpqa+liu,t,
harbors=>harbor=>n,harbors,n,n,harbor,w,mpqa+liu,f,
repugnance=>repugnance=>n,repugnance,n,n,repugnance,s,mpqa+liu,t,
weirdly=>weirdly=>r,weirdly,r,n,weirdly,s,mpqa+liu,t,
inefficiently=>inefficiently=>r,inefficiently,r,n,inefficiently,w,mpqa+liu,t,
harass=>harass=>v,harass,v,n,harass,w,mpqa+liu,t,
intrigue=>intrigue=>v,intrigue,v,o,intrigue,w,mpqa+liu,t,
intrigue=>intrigue=>n,intrigue,n,p,intrigue,s,mpqa+liu,t,
recommend=>recommend=>v,recommend,v,p,recommend,s,mpqa+liu+afinn,t,
calm=>calm=>v,calm,v,p,calm,w,mpqa+liu,t,
calm=>calm=>a,calm,a,p,calm,w,mpqa+liu,t,
rescue=>rescue=>n,rescue,n,p,rescue,w,mpqa+afinn,t,
undesirable=>undesirable=>a,undesirable,a,n,undesirable,s,mpqa+liu,t,
titillate=>titillate=>v,titillate,v,p,titillate,w,mpqa+liu,t,
unskilled=>unskilled=>a,unskilled,a,n,unskilled,w,mpqa+liu,t,
frozen=>frozen=>a,frozen,a,n,frozen,w,mpqa+liu,t,
seriously=>seriously=>o,seriously,r,n,seriously,s,mpqa,t,
panic=>panic=>n,panic,n,n,panic,s,mpqa+liu+afinn,t,
survive=>survive=>v,survive,v,p,survive,w,mpqa,t,
expose=>expose=>v,expose,v,n,expose,w,mpqa,t,
warp=>warp=>v,warp,v,n,warp,w,mpqa,t,
disruption=>disruption=>a,disruption,a,n,disruption,s,mpqa,t,
frenzy=>frenzy=>n,frenzy,n,n,frenzy,s,mpqa,t,
confound=>confound=>o,confound,o,n,confound,w,mpqa,t,
confound=>confound=>v,confound,v,n,confound,w,mpqa,t,
rights=>rights=>a,rights,a,p,rights,w,mpqa,t,
rights=>right=>n,rights,n,p,right,w,mpqa,f,
somber=>somber=>a,somber,a,n,somber,s,mpqa,t,
frantic=>frantic=>a,frantic,a,n,frantic,s,mpqa,t,
assent=>assent=>v,assent,v,p,assent,s,mpqa,t,
lure=>lure=>v,lure,v,n,lure,s,mpqa,t,
degenerate=>degenerate=>a,degenerate,a,n,degenerate,s,mpqa,t,
degenerate=>degenerate=>v,degenerate,v,n,degenerate,s,mpqa,t,
cursory=>cursory=>a,cursory,a,n,cursory,w,mpqa,t,
loathe=>loathe=>a,loathe,a,n,loathe,s,mpqa,t,
loathe=>loathe=>v,loathe,v,n,loathe,s,mpqa,t,
invidiousness=>invidiousness=>n,invidiousness,n,n,invidiousness,s,mpqa,t,
adventurism=>adventurism=>n,adventurism,n,p,adventurism,s,mpqa,t,
amazing=>amazing=>a,amazing,a,p,amazing,s,mpqa,t,
amazing=>amazing=>o,amazing,o,p,amazing,s,mpqa,t,
salivate=>salivate=>v,salivate,v,p,salivate,w,mpqa,t,
faulty=>faulty=>a,faulty,a,n,faulty,w,mpqa,t,
disconsolately=>disconsolately=>r,disconsolately,r,n,disconsolately,s,mpqa,t,
indignity=>indignity=>a,indignity,a,n,indignity,s,mpqa,t,
loyalty=>loyalty=>a,loyalty,a,p,loyalty,s,mpqa,t,
ambivalent=>ambivalent=>a,ambivalent,a,n,ambivalent,s,mpqa,t,
ambivalent=>ambivalent=>n,ambivalent,n,n,ambivalent,s,mpqa,t,
think=>think=>v,think,v,o,think,s,mpqa,t,
fictitious=>fictitious=>a,fictitious,a,n,fictitious,s,mpqa,t,
remorseful=>remorseful=>a,remorseful,a,n,remorseful,s,mpqa,t,
remorseful=>remorseful=>o,remorseful,o,n,remorseful,s,mpqa,t,
inconclusive=>inconclusive=>a,inconclusive,a,n,inconclusive,w,mpqa,t,
impossiblity=>impossiblity=>n,impossiblity,n,n,impossiblity,w,mpqa,t,
partisans=>partisans=>a,partisans,a,n,partisans,s,mpqa,t,
wickedness=>wickedness=>n,wickedness,n,n,wickedness,s,mpqa,t,
better=>better=>o,better,o,p,better,w,mpqa,t,
overcome=>overcome=>v,overcome,v,n,overcome,s,mpqa,t,
imperturbable=>imperturbable=>a,imperturbable,a,p,imperturbable,s,mpqa,t,
weakness=>weakness=>a,weakness,a,n,weakness,s,mpqa,t,
intimidation=>intimidation=>a,intimidation,a,n,intimidation,w,mpqa,t,
downright=>downright=>o,downright,o,o,downright,s,mpqa,t,
rhetoric=>rhetoric=>a,rhetoric,a,n,rhetoric,w,mpqa,t,
break-point=>break-point=>a,break-point,a,n,break-point,s,mpqa,t,
break-point=>break-point=>n,break-point,n,n,break-point,s,mpqa,t,
exaggerate=>exaggerate=>v,exaggerate,v,n,exaggerate,s,mpqa,t,
mistrust=>mistrust=>a,mistrust,a,n,mistrust,s,mpqa,t,
mistrust=>mistrust=>n,mistrust,n,n,mistrust,s,mpqa,t,
unpleasantries=>unpleasantries=>a,unpleasantries,a,n,unpleasantries,s,mpqa,t,
unpleasantries=>unpleasantries=>n,unpleasantries,n,n,unpleasantries,s,mpqa,t,
lofty=>lofty=>a,lofty,a,p,lofty,s,mpqa,t,
improvise=>improvise=>v,improvise,v,p,improvise,s,mpqa,t,
durability=>durability=>n,durability,n,p,durability,w,mpqa,t,
caustic=>caustic=>a,caustic,a,n,caustic,s,mpqa,t,
oppressors=>oppressors=>a,oppressors,a,n,oppressors,s,mpqa,t,
revolting=>revolting=>o,revolting,o,n,revolting,s,mpqa,t,
content=>content=>a,content,a,p,content,s,mpqa,t,
content=>content=>v,content,v,p,content,w,mpqa,t,
adhesion=>adhesion=>n,adhesion,n,p,adhesion,w,mpqa,t,
easiness=>easiness=>o,easiness,o,p,easiness,w,mpqa,t,
leaky=>leaky=>a,leaky,a,n,leaky,w,mpqa+liu,t,
wary=>wary=>a,wary,a,n,wary,s,mpqa+liu,t,
loyalty=>loyalty=>n,loyalty,n,p,loyalty,s,mpqa+liu+afinn,t,
warm=>warm=>a,warm,a,p,warm,w,mpqa+liu,t,
untruthful=>untruthful=>a,untruthful,a,n,untruthful,s,mpqa+liu,t,
indignity=>indignity=>n,indignity,n,n,indignity,s,mpqa+liu,t,
brightness=>brightness=>n,brightness,n,p,brightness,w,mpqa+afinn,t,
misfit=>misfit=>n,misfit,n,n,misfit,s,mpqa+liu,t,
responsive=>responsive=>a,responsive,a,p,responsive,w,mpqa+liu,t,
partisans=>partisan=>n,partisans,n,n,partisan,s,mpqa+liu,f,
better=>better=>a,better,a,p,better,s,mpqa+liu,t,
scratch=>rub=>v,scratch,v,n,rub,s,liu,f,
stalemate=>stalemate=>n,stalemate,n,n,stalemate,s,mpqa+liu,t,
longingly=>longingly=>o,longingly,r,n,longingly,s,mpqa,t,
intimidatingly=>intimidatingly=>o,intimidatingly,r,n,intimidatingly,s,mpqa,t,
indulge=>indulge=>v,indulge,v,n,indulge,s,mpqa+liu,t,
rhetoric=>rhetoric=>n,rhetoric,n,n,rhetoric,w,mpqa+liu,t,
superficiality=>superficiality=>n,superficiality,n,n,superficiality,s,mpqa+liu,t,
unnoticed=>unnoticed=>a,unnoticed,a,n,unnoticed,w,mpqa+liu,t,
loneliness=>loneliness=>n,loneliness,n,n,loneliness,s,mpqa+liu,t,
weakness=>weakness=>n,weakness,n,n,weakness,s,mpqa+liu+afinn,t,
unbound=>unbound=>a,unbound,a,p,unbound,w,mpqa+liu,t,
restricted=>restricted=>a,restricted,a,n,restricted,w,mpqa+liu,t,
oppressors=>oppressor=>n,oppressors,n,n,oppressor,s,mpqa+liu,f,
principled=>principled=>a,principled,a,p,principled,w,mpqa+liu,t,
panic=>panic=>v,panic,v,n,panic,s,mpqa+liu,t,
disruption=>disruption=>n,disruption,n,n,disruption,s,mpqa+liu+afinn,t,
contend=>contend=>v,contend,v,n,contend,s,mpqa+liu+afinn,t,
surprise=>surprise=>a,surprise,a,o,surprise,s,mpqa,t,
surprise=>surprise=>n,surprise,n,o,surprise,s,mpqa,t,
surprise=>surprise=>v,surprise,v,o,surprise,s,mpqa,t,
sluggish=>sluggish=>a,sluggish,a,n,sluggish,w,mpqa,t,
instigate=>instigate=>v,instigate,v,n,instigate,s,mpqa,t,
whiff=>whiff=>a,whiff,a,o,whiff,w,mpqa,t,
whiff=>whiff=>n,whiff,n,o,whiff,w,mpqa,t,
revenge=>revenge=>n,revenge,n,n,revenge,s,mpqa,t,
struggle=>struggle=>a,struggle,a,n,struggle,s,mpqa,t,
abate=>abate=>v,abate,v,n,abate,w,mpqa,t,
entrap=>entrap=>v,entrap,v,n,entrap,s,mpqa,t,
attune=>attune=>a,attune,a,p,attune,w,mpqa,t,
enraged=>enraged=>a,enraged,a,n,enraged,s,mpqa,t,
warped=>warped=>a,warped,a,n,warped,w,mpqa,t,
deplete=>deplete=>v,deplete,v,n,deplete,w,mpqa,t,
discompose=>discompose=>v,discompose,v,n,discompose,w,mpqa,t,
dumbfounded=>dumbfounded=>a,dumbfounded,a,n,dumbfounded,s,mpqa,t,
twisted=>twisted=>a,twisted,a,n,twisted,s,mpqa,t,
enthral=>enthral=>v,enthral,v,p,enthral,s,mpqa,t,
lovelorn=>lovelorn=>a,lovelorn,a,n,lovelorn,s,mpqa,t,
worsen=>worsen=>o,worsen,o,n,worsen,s,mpqa,t,
peculiar=>peculiar=>o,peculiar,o,n,peculiar,s,mpqa,t,
congratulatory=>congratulatory=>o,congratulatory,o,p,congratulatory,s,mpqa,t,
affront=>affront=>n,affront,n,n,affront,s,mpqa,t,
affront=>affront=>v,affront,v,n,affront,s,mpqa,t,
well-positioned=>well-positioned=>a,well-positioned,a,p,well-positioned,w,mpqa,t,
persuade=>persuade=>v,persuade,v,p,persuade,s,mpqa,t,
deserving=>deserving=>a,deserving,a,p,deserving,s,mpqa,t,
divisiveness=>divisiveness=>n,divisiveness,n,n,divisiveness,s,mpqa,t,
far-fetched=>far-fetched=>a,far-fetched,a,n,far-fetched,s,mpqa,t,
fathomless=>fathomless=>a,fathomless,a,n,fathomless,s,mpqa,t,
quench=>quench=>v,quench,v,p,quench,w,mpqa,t,
mind=>mind=>v,mind,v,n,mind,w,mpqa,t,
all-time=>all-time=>a,all-time,a,o,all-time,w,mpqa,t,
all-time=>all-time=>n,all-time,n,o,all-time,w,mpqa,t,
seem=>seem=>o,seem,o,o,seem,w,mpqa,t,
grind=>grind=>a,grind,a,n,grind,s,mpqa,t,
impotent=>impotent=>n,impotent,n,n,impotent,s,mpqa,t,
fitting=>fitting=>a,fitting,a,p,fitting,s,mpqa,t,
demoralizing=>demoralizing=>o,demoralizing,o,n,demoralizing,s,mpqa,t,
worsening=>worsening=>o,worsening,o,n,worsening,s,mpqa,t,
inconsistence=>inconsistence=>n,inconsistence,n,n,inconsistence,s,mpqa,t,
chatterbox=>chatterbox=>o,chatterbox,o,n,chatterbox,s,mpqa,t,
exonerate=>exonerate=>v,exonerate,v,p,exonerate,s,mpqa,t,
treasonous=>treasonous=>a,treasonous,a,n,treasonous,s,mpqa,t,
alarm=>alarm=>a,alarm,a,n,alarm,w,mpqa,t,
self-destructive=>self-destructive=>a,self-destructive,a,n,self-destructive,s,mpqa,t,
digress=>digress=>v,digress,v,n,digress,s,mpqa,t,
principle=>principle=>a,principle,a,p,principle,w,mpqa,t,
principle=>principle=>n,principle,n,p,principle,w,mpqa,t,
annoyed=>annoyed=>a,annoyed,a,n,annoyed,s,mpqa,t,
urgency=>urgency=>a,urgency,a,n,urgency,s,mpqa,t,
urgency=>urgency=>n,urgency,n,n,urgency,s,mpqa,t,
discontent=>discontent=>a,discontent,a,n,discontent,s,mpqa,t,
discontent=>discontent=>n,discontent,n,n,discontent,s,mpqa,t,
hunger=>hunger=>v,hunger,v,n,hunger,s,mpqa,t,
rapture=>rapture=>o,rapture,o,p,rapture,s,mpqa,t,
rapture=>rapture=>n,rapture,n,p,rapture,s,mpqa,t,
brutalities=>brutalities=>o,brutalities,o,n,brutalities,s,mpqa,t,
uneasiness=>uneasiness=>a,uneasiness,a,n,uneasiness,s,mpqa,t,
uneasiness=>uneasiness=>n,uneasiness,n,n,uneasiness,s,mpqa,t,
incoherently=>incoherently=>a,incoherently,a,n,incoherently,s,mpqa,t,
undoubtedly=>undoubtedly=>r,undoubtedly,r,p,undoubtedly,s,mpqa,t,
dissolute=>dissolute=>a,dissolute,a,n,dissolute,s,mpqa,t,
grind=>grind=>n,grind,n,n,grind,s,mpqa+liu,t,
struggle=>struggle=>n,struggle,n,n,struggle,s,mpqa+liu+afinn,t,
reassure=>reassure=>v,reassure,v,p,reassure,s,mpqa+liu+afinn,t,
warmhearted=>warmhearted=>a,warmhearted,a,p,warmhearted,s,mpqa+liu,t,
heckle=>heckle=>v,heckle,v,n,heckle,s,mpqa+liu,t,
downside=>downside=>n,downside,n,n,downside,s,mpqa+liu+afinn,t,
anxiety=>anxiety=>n,anxiety,n,n,anxiety,s,mpqa+liu+afinn,t,
nastiness=>nastiness=>n,nastiness,n,n,nastiness,s,mpqa+liu,t,
debase=>debase=>v,debase,v,n,debase,s,mpqa+liu,t,
brainwash=>brainwash=>v,brainwash,v,n,brainwash,s,mpqa+liu,t,
symptom=>symptom=>n,symptom,n,n,symptom,w,mpqa+liu,t,
acquit=>acquit=>v,acquit,v,p,acquit,w,mpqa+afinn,t,
bitterness=>bitterness=>n,bitterness,n,n,bitterness,s,mpqa+liu,t,
hallucination=>hallucination=>n,hallucination,n,n,hallucination,s,mpqa+liu,t,
modern=>modern=>a,modern,a,p,modern,w,mpqa+liu,t,
horde=>horde=>n,horde,n,n,horde,w,mpqa+liu,t,
impotent=>impotent=>a,impotent,a,n,impotent,s,mpqa+liu,t,
alarm=>alarm=>v,alarm,v,n,alarm,w,mpqa+liu,t,
brilliance=>brilliance=>n,brilliance,n,p,brilliance,w,mpqa+liu,t,
discourteous=>discourteous=>a,discourteous,a,n,discourteous,s,mpqa+liu,t,
undignified=>undignified=>a,undignified,a,n,undignified,s,mpqa+liu,t,
impede=>impede=>v,impede,v,n,impede,s,mpqa+liu,t,
revenge=>revenge=>v,revenge,v,n,revenge,s,mpqa+liu+afinn,t,
silly=>silly=>o,silly,r,n,silly,s,mpqa,t,
brimstone=>brimstone=>a,brimstone,a,n,brimstone,s,mpqa,t,
set-up=>set-up=>a,set-up,a,n,set-up,s,mpqa,t,
set-up=>set-up=>n,set-up,n,n,set-up,s,mpqa,t,
rejoicing=>rejoicing=>o,rejoicing,o,p,rejoicing,s,mpqa,t,
slanderous=>slanderous=>a,slanderous,a,n,slanderous,s,mpqa,t,
smug=>smug=>a,smug,a,n,smug,s,mpqa,t,
bar=>bar=>v,bar,v,n,bar,w,mpqa,t,
broken-hearted=>broken-hearted=>a,broken-hearted,a,n,broken-hearted,s,mpqa,t,
stooges=>stooges=>a,stooges,a,n,stooges,s,mpqa,t,
stooges=>stooge=>n,stooges,n,n,stooge,s,mpqa,f,
depressed=>depressed=>a,depressed,a,n,depressed,s,mpqa,t,
attest=>attest=>v,attest,v,p,attest,s,mpqa,t,
fascinating=>fascinating=>o,fascinating,o,p,fascinating,s,mpqa,t,
prophesy=>prophesy=>v,prophesy,v,o,prophesy,s,mpqa,t,
blameless=>blameless=>a,blameless,a,p,blameless,s,mpqa,t,
winnable=>winnable=>a,winnable,a,p,winnable,s,mpqa,t,
winnable=>winnable=>n,winnable,n,p,winnable,s,mpqa,t,
allure=>allure=>v,allure,v,p,allure,s,mpqa,t,
allure=>allure=>n,allure,n,p,allure,s,mpqa,t,
artificial=>artificial=>a,artificial,a,n,artificial,w,mpqa,t,
tantamount=>tantamount=>o,tantamount,o,o,tantamount,s,mpqa,t,
tolerance=>tolerance=>a,tolerance,a,p,tolerance,s,mpqa,t,
tolerance=>tolerance=>n,tolerance,n,p,tolerance,s,mpqa,t,
enrapt=>enrapt=>a,enrapt,a,p,enrapt,s,mpqa,t,
gems=>gems=>a,gems,a,p,gems,w,mpqa,t,
lazy=>lazy=>a,lazy,a,n,lazy,s,mpqa,t,
weary=>weary=>a,weary,a,n,weary,s,mpqa,t,
weary=>weary=>n,weary,n,n,weary,s,mpqa,t,
weary=>weary=>v,weary,v,n,weary,w,mpqa,t,
upfront=>upfront=>a,upfront,a,p,upfront,w,mpqa,t,
witty=>witty=>a,witty,a,p,witty,s,mpqa,t,
resistant=>resistant=>a,resistant,a,n,resistant,w,mpqa,t,
resistant=>resistant=>n,resistant,n,n,resistant,w,mpqa,t,
against=>against=>o,against,o,n,against,w,mpqa,t,
pertinacious=>pertinacious=>a,pertinacious,a,n,pertinacious,s,mpqa,t,
contribution=>contribution=>a,contribution,a,p,contribution,w,mpqa,t,
overstatements=>overstatements=>o,overstatements,o,n,overstatements,s,mpqa,t,
exemplary=>exemplary=>a,exemplary,a,p,exemplary,s,mpqa,t,
incessant=>incessant=>a,incessant,a,n,incessant,s,mpqa,t,
lowly=>lowly=>a,lowly,a,n,lowly,s,mpqa,t,
riled=>riled=>o,riled,o,n,riled,s,mpqa,t,
tiny=>tiny=>a,tiny,a,n,tiny,w,mpqa,t,
detrimental=>detrimental=>a,detrimental,a,n,detrimental,s,mpqa,t,
interest=>interest=>a,interest,a,p,interest,w,mpqa,t,
interest=>interest=>v,interest,v,p,interest,w,mpqa,t,
basic=>basic=>a,basic,a,p,basic,w,mpqa,t,
lovely=>lovely=>a,lovely,a,p,lovely,s,mpqa,t,
unlamentable=>unlamentable=>o,unlamentable,o,n,unlamentable,s,mpqa,t,
idol=>idol=>a,idol,a,p,idol,s,mpqa,t,
prosperous=>prosperous=>a,prosperous,a,p,prosperous,w,mpqa,t,
chum=>chum=>n,chum,n,p,chum,w,mpqa,t,
decrepit=>decrepit=>a,decrepit,a,n,decrepit,s,mpqa,t,
lunaticism=>lunaticism=>n,lunaticism,n,n,lunaticism,s,mpqa,t,
sly=>sly=>a,sly,a,n,sly,s,mpqa,t,
neat=>neat=>a,neat,a,p,neat,w,mpqa,t,
imperatively=>imperatively=>r,imperatively,r,o,imperatively,s,mpqa,t,
discriminatingly=>discriminatingly=>r,discriminatingly,r,p,discriminatingly,w,mpqa,t,
lugubrious=>lugubrious=>a,lugubrious,a,n,lugubrious,s,mpqa,t,
jest=>jest=>v,jest,v,p,jest,s,mpqa,t,
amour=>amour=>n,amour,n,p,amour,s,mpqa,t,
sever=>sever=>a,sever,a,n,sever,w,mpqa,t,
cripple=>cripple=>v,cripple,v,n,cripple,s,mpqa+liu,t,
brimstone=>brimstone=>n,brimstone,n,n,brimstone,s,mpqa+liu,t,
hoard=>hoard=>v,hoard,v,n,hoard,s,mpqa+liu,t,
colorful=>colorful=>a,colorful,a,p,colorful,w,mpqa+liu,t,
enchant=>enchant=>v,enchant,v,p,enchant,s,mpqa+liu,t,
unworthy=>unworthy=>a,unworthy,a,n,unworthy,s,mpqa+liu,t,
inappropriate=>inappropriate=>a,inappropriate,a,n,inappropriate,s,mpqa+liu,t,
disprove=>disprove=>v,disprove,v,n,disprove,s,mpqa+liu,t,
lethargic=>lethargic=>a,lethargic,a,n,lethargic,w,mpqa+liu,t,
obsessiveness=>obsessiveness=>n,obsessiveness,n,n,obsessiveness,s,mpqa+liu,t,
disorderly=>disorderly=>a,disorderly,a,n,disorderly,w,mpqa+liu,t,
distinction=>distinction=>n,distinction,n,p,distinction,w,mpqa+liu,t,
contribution=>contribution=>n,contribution,n,p,contribution,w,mpqa+liu,t,
futility=>futility=>n,futility,n,n,futility,s,mpqa+liu,t,
idol=>idol=>n,idol,n,p,idol,s,mpqa+liu,t,
wheedle=>wheedle=>v,wheedle,v,n,wheedle,s,mpqa+liu,t,
suppress=>suppress=>v,suppress,v,n,suppress,w,mpqa+liu,t,
disgruntle=>disgruntle=>v,disgruntle,v,n,disgruntle,s,mpqa+liu,t,
affirm=>affirm=>v,affirm,v,p,affirm,s,mpqa+liu,t,
ugly=>ugly=>a,ugly,a,n,ugly,s,mpqa+liu,t,
mangle=>mangle=>v,mangle,v,n,mangle,s,mpqa+liu,t,
pessimistic=>pessimistic=>a,pessimistic,a,n,pessimistic,s,mpqa+liu,t,
shame=>shame=>v,shame,v,n,shame,s,mpqa+liu,t,
interest=>interest=>n,interest,n,p,interest,w,mpqa+afinn,t,
gems=>gem=>n,gems,n,p,gem,w,mpqa+liu,f,
endorse=>endorse=>v,endorse,v,p,endorse,s,mpqa+liu+afinn,t,
shame=>shame=>n,shame,n,n,shame,s,mpqa+liu+afinn,t,
constitutions=>constitutions=>a,constitutions,a,o,constitutions,w,mpqa,t,
constitutions=>constitution=>n,constitutions,n,o,constitution,w,mpqa,f,
growl=>growl=>v,growl,v,n,growl,s,mpqa,t,
shimmering=>shimmering=>o,shimmering,o,p,shimmering,s,mpqa,t,
advocate=>advocate=>v,advocate,v,p,advocate,s,mpqa,t,
opulent=>opulent=>a,opulent,a,p,opulent,s,mpqa,t,
supposing=>supposing=>o,supposing,o,o,supposing,s,mpqa,t,
jealous=>jealous=>a,jealous,a,n,jealous,s,mpqa,t,
overt=>overt=>a,overt,a,o,overt,w,mpqa,t,
kid=>kid=>v,kid,v,p,kid,s,mpqa,t,
berate=>berate=>v,berate,v,n,berate,s,mpqa,t,
mockeries=>mockery=>n,mockeries,n,n,mockery,s,mpqa,f,
just=>just=>a,just,a,p,just,s,mpqa,t,
just=>just=>o,just,o,p,just,w,mpqa,t,
just=>just=>n,just,n,p,just,w,mpqa,t,
unfair=>unfair=>a,unfair,a,n,unfair,s,mpqa,t,
personages=>personages=>a,personages,a,p,personages,w,mpqa,t,
facts=>facts=>o,facts,o,o,facts,s,mpqa,t,
yep=>yep=>o,yep,o,p,yep,s,mpqa,t,1
yes=>yes=>o,yes,o,p,yes,s,mpqa,t,1
impending=>impending=>a,impending,a,n,impending,s,mpqa,t,
impending=>impending=>n,impending,n,n,impending,s,mpqa,t,
agile=>agile=>a,agile,a,p,agile,w,mpqa,t,
perfunctory=>perfunctory=>a,perfunctory,a,n,perfunctory,s,mpqa,t,
perfunctory=>perfunctory=>n,perfunctory,n,n,perfunctory,s,mpqa,t,
discreet=>discreet=>a,discreet,a,p,discreet,w,mpqa,t,
discreet=>discreet=>n,discreet,n,p,discreet,w,mpqa,t,
dreamy=>dreamy=>a,dreamy,a,p,dreamy,w,mpqa,t,
dreams=>dreams=>a,dreams,a,p,dreams,w,mpqa,t,
blinding=>blinding=>a,blinding,a,n,blinding,s,mpqa,t,
blinding=>blinding=>o,blinding,o,n,blinding,s,mpqa,t,
disillusioned=>disillusioned=>a,disillusioned,a,n,disillusioned,s,mpqa,t,
flabbergasted=>flabbergasted=>o,flabbergasted,o,n,flabbergasted,s,mpqa,t,
notorious=>notorious=>a,notorious,a,n,notorious,s,mpqa,t,
maltreatment=>maltreatment=>a,maltreatment,a,n,maltreatment,s,mpqa,t,
squander=>squander=>v,squander,v,n,squander,s,mpqa,t,
deal=>deal=>n,deal,n,p,deal,w,mpqa,t,
revel=>revel=>a,revel,a,p,revel,s,mpqa,t,
dear=>dear=>a,dear,a,p,dear,s,mpqa,t,
amiable=>amiable=>a,amiable,a,p,amiable,s,mpqa,t,
uproar=>uproar=>n,uproar,n,n,uproar,s,mpqa,t,
outspoken=>outspoken=>a,outspoken,a,o,outspoken,w,mpqa,t,
outspoken=>outspoken=>n,outspoken,n,o,outspoken,w,mpqa,t,
bold=>bold=>a,bold,a,p,bold,s,mpqa,t,
humanists=>humanists=>a,humanists,a,p,humanists,w,mpqa,t,
humanists=>humanist=>n,humanists,n,p,humanist,w,mpqa,f,
confrontation=>confrontation=>a,confrontation,a,n,confrontation,s,mpqa,t,
super=>super=>o,super,o,p,super,s,mpqa,t,
empowerment=>empowerment=>n,empowerment,n,p,empowerment,w,mpqa,t,
innuendo=>innuendo=>a,innuendo,a,n,innuendo,s,mpqa,t,
innuendo=>innuendo=>n,innuendo,n,n,innuendo,s,mpqa,t,
cliche=>cliche=>o,cliche,o,n,cliche,s,mpqa,t,
down=>down=>n,down,n,n,down,w,mpqa,t,
lies=>lies=>a,lies,a,n,lies,s,mpqa,t,
ill-sorted=>ill-sorted=>a,ill-sorted,a,n,ill-sorted,s,mpqa,t,
illustrious=>illustrious=>a,illustrious,a,p,illustrious,s,mpqa,t,
misbecome=>misbecome=>v,misbecome,v,n,misbecome,s,mpqa,t,
victorious=>victorious=>a,victorious,a,p,victorious,w,mpqa,t,
counterproductive=>counterproductive=>a,counterproductive,a,n,counterproductive,s,mpqa,t,
lurid=>lurid=>a,lurid,a,n,lurid,s,mpqa,t,
lies=>lie=>n,lies,n,n,lie,s,mpqa+liu,f,
enthusiastically=>enthusiastically=>r,enthusiastically,r,p,enthusiastically,s,mpqa+liu,t,
maltreatment=>maltreatment=>n,maltreatment,n,n,maltreatment,s,mpqa+liu,t,
strife=>strife=>n,strife,n,n,strife,s,mpqa+liu,t,
delight=>delight=>v,delight,v,p,delight,s,mpqa+liu,t,
opportunity=>opportunity=>n,opportunity,n,p,opportunity,s,mpqa+afinn,t,
dreams=>dream=>n,dreams,n,p,dream,w,mpqa+afinn,f,
wasteful=>wasteful=>a,wasteful,a,n,wasteful,w,mpqa+liu,t,
personages=>personage=>n,personages,n,p,personage,w,mpqa+liu,f,
affinity=>affinity=>n,affinity,n,p,affinity,w,mpqa+liu,t,
